laser,Intensity (%),mean (mW),std (mW),area (cm^2),density (mW/cm^2),std density (mW/cm^2)
561nm,5,1.28125,0.046754011,0.000325243,3939.361411,143.7509813
561nm,10,2.126666667,0.034480268,0.000325243,6538.699395,106.013844
561nm,20,3.523333333,0.10402991,0.000325243,10832.92361,319.8528109
561nm,50,7.161428571,0.079359682,0.000325243,22018.69687,244.0011475
561nm,100,13.21666667,0.0372678,0.000325243,40636.27445,114.584454
488nm,5,1.337142857,0.064301585,0.000593635,2252.464657,108.3183054
488nm,10,2.42,0.053984125,0.000593635,4076.575992,90.93817625
488nm,20,4.25625,0.078252396,0.000593635,7169.804367,131.8189419
488nm,50,9.985,0.079056942,0.000593635,16820.08731,133.1742272
488nm,100,18.575,0.3230712,0.000593635,31290.24754,544.2249157
