Index,Angle_before_entry,Angle_after_entry,Type,Initial_point,Final_point,Capsule_center,Hole_position,Time_on_hole,unique_index
4,29.16587203173346,169.62886692622192,f,"(35.0, 99.986, 2.119525419865961)","(129.476, 118.46, -1.6179616369737175)","(122.582, 125.565, 0)","(92.517, 127.449, 0)",0.48,20240313_205214_702_Video_1_ROI_1
7,25.801791453982567,155.48207134977486,f,"(146.708, 33.034, 13.243287664475199)","(76.0, 66.971, -3.2729460993328203)","(95.177, 70.806, 0)","(113.477, 51.469, 0)",0.4,20240313_205214_702_Video_2_ROI_5
13,26.23456071966293,175.31206456388296,f,"(137.932, 83.582, 3.051280079703518)","(55.012, 79.008, 3.7258341625707194)","(80.15, 86.2, 0)","(109.589, 91.444, 0)",0.24,20240313_210710_628_Video_7_ROI_12
14,12.424163353849034,174.93638315794635,f,"(40.996, 7.498, 4.469969004561216)","(70.974, 96.907, 2.23646921138861)","(64.095, 78.278, 0)","(56.395, 63.213, 0)",0.08,20240313_210710_628_Video_8_ROI_8
15,32.47113810618209,177.85202138578268,f,"(149.496, 39.987, 15.024223810757851)","(91.492, 119.901, -1.6776796673210441)","(102.26, 92.057, 0)","(111.524, 70.476, 0)",0.16,20240313_210710_628_Video_9_ROI_3
20,8.340672245953543,169.81464565622278,f,"(50.641, 29.697, 2.8269036929644766)","(109.823, 125.622, 4.554643096453951)","(86.104, 101.145, 0)","(70.017, 63.082, 0)",0.08,20240313_212243_951_Video_9_ROI_2
23,3.688737848176453,177.954546896686,f,"(172.023, 91.005, -1.9210149992107546)","(57.035, 62.973, -2.1891023723640153)","(62.581, 65.462, 0)","(126.351, 78.941, 0)",0.16,20240313_213725_340_Video_1_ROI_1
35,15.962265786226043,177.022279058582,f,"(147.504, 62.44, 2.9642058382324583)","(64.976, 94.013, -2.202327405626665)","(95.408, 79.569, 0)","(136.163, 64.968, 0)",0.24,20240313_213725_340_Video_7_ROI_1
40,3.935505730619679,163.84923352888435,f,"(118.003, 78.998, 1.0066446640292055)","(40.934, 67.01, 2.242405602760104)","(60.248, 59.157, 0)","(92.06, 71.008, 0)",0.16,20240313_215230_715_Video_3_ROI_1
41,24.961290631813263,168.2330997623077,f,"(119.988, 74.972, 3.5216603971324147)","(34.001, 32.013, 1.179764452985034)","(57.097, 46.688, 0)","(83.963, 50.991, 0)",0.16,20240313_215230_715_Video_3_ROI_1
43,6.049180066341063,163.45126169166144,f,"(70.499, 147.985, 1.5853058738799044)","(111.029, 54.987, 2.0956176893421166)","(89.678, 68.512, 0)","(79.021, 104.073, 0)",0.32,20240313_215230_715_Video_3_ROI_10
47,18.186299051763996,171.78092992945437,f,"(144.48, 49.0, 2.714842963482476)","(45.023, 91.973, 0.887358549616363)","(73.907, 75.961, 0)","(109.945, 68.507, 0)",0.32,20240313_215230_715_Video_8_ROI_3
49,5.7429477370590325,161.10909388220483,f,"(44.982, 7.998, 3.5311500284702344)","(70.109, 113.913, 0.927691980902976)","(80.076, 86.042, 0)","(61.958, 48.934, 0)",0.21,I18_entry_Video_1_ROI_2
50,27.642063619913568,169.75002175561153,f,"(100.623, 147.788, 1.4935432616234596)","(51.094, 68.051, 3.6010965249432516)","(75.687, 84.398, 0)","(97.463, 117.37, 0)",0.21,I18_entry_Video_2_ROI_1
53,16.97009591506149,163.06077304096337,f,"(103.437, 145.961, -2.6892796774706973)","(56.021, 55.101, -2.201309850161337)","(72.61, 77.484, 0)","(75.474, 92.473, 0)",0.084,I18_entry_Video_4_ROI_2
68,14.226736710548467,166.16559242551062,f,"(120.5, 184.87, 6.52622392840029)","(129.494, 98.163, -2.6354048362898723)","(116.407, 118.655, 0)","(115.474, 149.483, 0)",0.24,I18_entry_Video_18_ROI_5
69,14.128357682144905,178.18218035241372,f,"(139.407, 49.208, 2.768864966406288)","(70.082, 108.408, 0.9313743807675969)","(85.846, 90.946, 0)","(113.386, 64.594, 0)",0.32,I18_entry_Video_19_ROI_3
70,34.74025873579052,160.8772454028465,f,"(122.498, 192.993, 4.567190860014227)","(115.494, 76.545, 1.5363018172554934)","(110.617, 103.408, 0)","(126.625, 130.31, 0)",0.24,I18_entry_Video_19_ROI_4
71,11.860215713921413,151.00655137833155,f,"(79.0, 158.003, -3.1470378561063086)","(112.488, 81.032, 4.454017698384812)","(94.616, 87.405, 0)","(92.517, 111.574, 0)",0.72,I18_entry_Video_21_ROI_10
72,5.415621471032918,149.97216753354084,f,"(47.131, 128.909, 2.066020043364614)","(71.012, 56.962, -2.138808682235066)","(81.138, 72.89, 0)","(72.124, 89.924, 0)",0.24,I18_entry_Video_23_ROI_2
75,8.601849450646917,167.2873739323576,f,"(117.987, 33.972, 5.217971707208402)","(135.955, 84.864, -2.057737075060068)","(139.24, 105.225, 0)","(131.517, 73.842, 0)",0.48,I19_entry_Video_1_ROI_2
81,13.410314440553636,164.2541010839801,f,"(130.765, 85.809, 4.450476937082687)","(123.536, 157.461, 4.76490586572168)","(134.979, 142.054, 0)","(135.458, 114.583, 0)",0.441,entry_F20_entry_0010.nd2 - C=0-1_t2-1_Video_1_ROI_1
85,31.529740203402795,157.0175454311095,f,"(96.801, 177.512, -2.192662278871655)","(71.432, 106.632, 0.43772359240795655)","(92.144, 112.885, 0)","(102.116, 134.988, 0)",0.252,long_entry_F20_entry_0055.nd2 - C=0-1_t1-1_Video_1_ROI_1
91,17.56688463085825,156.12353000182375,f,"(38.986, 6.042, -2.2323636882882205)","(47.995, 87.955, 3.525612999376637)","(58.679, 66.66, 0)","(44.942, 39.887, 0)",0.147,I15_entry_Video_13_ROI_3
93,12.133316914153086,164.288204476727,f,"(103.047, 6.552, 0.9709940193253006)","(53.455, 83.535, -2.7406690400156677)","(55.668, 59.76, 0)","(84.611, 32.83, 0)",0.231,I15_entry_Video_15_ROI_4
94,35.68551074517826,177.72836013918317,f,"(6.193, 37.146, 5.346957013922969)","(80.542, 88.974, -1.6801710435310468)","(62.31, 72.104, 0)","(36.037, 43.837, 0)",0.273,I15_entry_Video_17_ROI_1
96,34.348153186322016,177.22801669034905,f,"(100.492, 151.953, -2.396919224044616)","(62.434, 76.563, -1.681665989357814)","(63.176, 87.964, 0)","(67.572, 116.612, 0)",0.651,I15_entry_Video_21_ROI_2
97,7.5155594904268055,157.2736181411497,f,"(75.384, 127.047, 4.4257319957656165)","(68.489, 53.933, 2.834822522572421)","(53.923, 59.379, 0)","(64.538, 94.477, 0)",0.63,I15_entry_Video_44_ROI_4
